Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
93,ADI,SBT-ADI,,498/29DDA L3,UIOL,,,,23.05465,72.59056,18.01368,,,8,03-01-2018 13:30
94,ADI,SBT-ADI,,498/29DA L2,,,,,23.05465,72.59055,17.86128,,,8,03-01-2018 13:31
95,ADI,SBT-ADI,,498/28 L1,,,,,23.0542,72.59069,14.14272,,,8,03-01-2018 13:28
96,ADI,SBT-ADI,,498/27DDA L3,UIOL,,,,23.0541,72.5908,18.07464,,,9,03-01-2018 13:28
97,ADI,SBT-ADI,,498/27DA L2,,SHB UNDER BRIDGE,,,23.05418,72.59074,15.75816,,,9,03-01-2018 13:28
98,ADI,SBT-ADI,,498/26 L1,,,,,23.05365,72.59083,18.8976,,,9,03-01-2018 13:26
99,ADI,SBT-ADI,,498/25DDA L3,UIOL,,,,23.05368,72.59093,18.71472,,,8,03-01-2018 13:26
100,ADI,SBT-ADI,,498/25DA L2,,,,,23.05367,72.59086,19.17192,,,8,03-01-2018 13:26
101,ADI,SBT-ADI,,498/24 L1,ACA,,,,23.0532,72.59102,19.41576,,,9,03-01-2018 13:24
102,ADI,SBT-ADI,,498/23DDA L3,,,,,23.05317,72.59113,18.22704,,,8,03-01-2018 13:23
103,ADI,SBT-ADI,,498/23DA L2,ACA,,,,23.0532,72.59109,19.75104,,,9,03-01-2018 13:24
104,ADI,SBT-ADI,,498/22 L1,ACC,,,,23.05281,72.5912,11.5824,,,9,03-01-2018 13:22
105,ADI,SBT-ADI,,498/21DDA L3,FTA,,,,23.05283,72.59127,13.07592,,,8,03-01-2018 13:22
106,ADI,SBT-ADI,,498/21DA L2,,,,,23.05282,72.59121,12.192,,,8,03-01-2018 13:22
107,ADI,SBT-ADI,,498/20 L1,ACA,,,,23.05231,72.59147,11.61288,,,8,03-01-2018 13:20
108,ADI,SBT-ADI,,498/19DDA L3,,,,,23.05234,72.59154,11.43,,,8,03-01-2018 13:19
109,ADI,SBT-ADI,,498/19DA L2,,,,,23.05233,72.5915,12.07008,,,8,03-01-2018 13:20
110,ADI,SBT-ADI,,498/17DDA L3,ACC,,,,23.05186,72.59175,8.13816,,,9,03-01-2018 13:18
111,ADI,SBT-ADI,,498/18 L1,,,,,23.05182,72.5917,10.14984,,,9,03-01-2018 13:17
