Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
165,ADI,SBT-ADI,,497/14 L1,,,,,23.04264,72.59749,16.85544,,,9,03-01-2018 12:25
166,ADI,SBT-ADI,,497/13 L2,,,,,23.04264,72.5975,17.00784,,,9,03-01-2018 12:24
167,ADI,SBT-ADI,,497/13D L3,,,,,23.04271,72.59747,17.2212,,,8,03-01-2018 12:25
168,ADI,SBT-ADI,,497/12 L1,,,,,23.0422,72.5978,16.67256,,,8,03-01-2018 12:23
169,ADI,SBT-ADI,,497/11D L3,,,,,23.04228,72.59777,16.88592,,,8,03-01-2018 12:23
170,ADI,SBT-ADI,,497/11 L2,,,,,23.04222,72.59785,16.88592,,,9,03-01-2018 12:22
171,ADI,SBT-ADI,,497/10 L1,,,,,23.04172,72.59802,16.1544,,,8,03-01-2018 12:20
172,ADI,SBT-ADI,,497/9D L3,UIOL,,,,23.04183,72.59805,16.73352,,,9,03-01-2018 12:21
173,ADI,SBT-ADI,,497/9 L2,,,,,23.04173,72.59806,16.06296,,,9,03-01-2018 12:21
174,ADI,SBT-ADI,,497/8 L1,,,,,23.04127,72.59831,16.09344,,,8,03-01-2018 12:17
175,ADI,SBT-ADI,,497/7D L3,UIOL,,,,23.04135,72.59832,16.64208,,,8,03-01-2018 12:19
176,ADI,SBT-ADI,,497/7 L2,,,,,23.04128,72.59832,16.24584,,,8,03-01-2018 12:18
177,ADI,SBT-ADI,,497/6 L1,,,,,23.04075,72.59859,13.22832,,,10,03-01-2018 12:16
178,ADI,SBT-ADI,,497/5D L3,,,,,23.04089,72.59858,17.25168,,,9,03-01-2018 12:15
179,ADI,SBT-ADI,,496/5 L2,,,,,23.04078,72.5985,13.38072,,,6,03-01-2018 12:16
180,ADI,SBT-ADI,,496/4 L1,,,,,23.04027,72.59892,16.42872,,,9,03-01-2018 12:13
181,ADI,SBT-ADI,,497/3D L3,,,,,23.04033,72.59897,12.61872,,,8,03-01-2018 12:10
182,ADI,SBT-ADI,,497/3 L2,,,,,23.04028,72.59899,12.67968,,,7,03-01-2018 12:10
183,ADI,SBT-ADI,,497/2 L1,,,,,23.0398,72.59926,17.03832,,,8,03-01-2018 12:12
184,ADI,SBT-ADI,,497/1D L3,,,,,23.04,72.59925,16.67256,,,9,03-01-2018 12:09
185,ADI,SBT-ADI,,497/1 L2,,,,,23.03978,72.59933,18.04416,,,10,03-01-2018 12:12
